status	bigg_id	organism	pathway	pathway_rn	pathway_label	source_reaction_count	source_metabolite_count	source_gene_count	model_reactions	model_metabolites	kegg_reactions	kegg_metabolites	kgml_reaction_entries_omitted	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	escher_nodes	escher_reactions	escher_segments	invalid_segments_removed	secondary_nodes_seen	secondary_nodes_converted	map_json	map_html	summary_json	model_xml	elapsed_seconds	error
built	iEcHS_1320	Escherichia coli HS	map00680	rn00680	Methane metabolism / C1 metabolism	2753	1963	1321	2753	1963	104	86	3	R08323, R08328, R10397	32	72	30.77	36	50	41.86	239	32	229	0	96	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcHS_1320\iEcHS_1320_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcHS_1320\iEcHS_1320_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iEcHS_1320\summary.json	outputs\bigg_prokaryote_bioemma\models\iEcHS_1320.xml	3.208	
built	iECIAI1_1343	Escherichia coli IAI1	map00010	rn00010	Glycolysis / gluconeogenesis	2765	1968	1343	2765	1968	56	31	0		41	15	73.21	22	9	70.97	271	41	286	0	117	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI1_1343\iECIAI1_1343_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI1_1343\iECIAI1_1343_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI1_1343\summary.json	outputs\bigg_prokaryote_bioemma\models\iECIAI1_1343.xml	2.199	
built	iECIAI1_1343	Escherichia coli IAI1	map00020	rn00020	Citrate cycle (TCA cycle)	2765	1968	1343	2765	1968	29	20	0		23	6	79.31	13	7	65.0	158	23	171	0	69	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI1_1343\iECIAI1_1343_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI1_1343\iECIAI1_1343_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI1_1343\summary.json	outputs\bigg_prokaryote_bioemma\models\iECIAI1_1343.xml	1.536	
built	iECIAI1_1343	Escherichia coli IAI1	map00030	rn00030	Pentose phosphate pathway	2765	1968	1343	2765	1968	58	37	1	R06837	34	24	58.62	26	11	70.27	206	34	217	0	73	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI1_1343\iECIAI1_1343_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI1_1343\iECIAI1_1343_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI1_1343\summary.json	outputs\bigg_prokaryote_bioemma\models\iECIAI1_1343.xml	2.014	
built	iECIAI1_1343	Escherichia coli IAI1	map00680	rn00680	Methane metabolism / C1 metabolism	2765	1968	1343	2765	1968	104	86	3	R08323, R08328, R10397	32	72	30.77	36	50	41.86	238	32	228	0	95	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI1_1343\iECIAI1_1343_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI1_1343\iECIAI1_1343_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI1_1343\summary.json	outputs\bigg_prokaryote_bioemma\models\iECIAI1_1343.xml	3.299	
built	iECIAI39_1322	Escherichia coli IAI39	map00010	rn00010	Glycolysis / gluconeogenesis	2721	1953	1321	2721	1953	56	31	0		41	15	73.21	22	9	70.97	275	41	290	0	121	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI39_1322\iECIAI39_1322_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI39_1322\iECIAI39_1322_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iECIAI39_1322\summary.json	outputs\bigg_prokaryote_bioemma\models\iECIAI39_1322.xml	2.085	
built	iECIAI39_1322	Escherichia coli IAI39	map00020	rn00020	Citrate cycle (TCA cycle)	2721	1953	1321	2721	1953	29	20	0		23	6	79.31	13	7	65.0	158	23	171	0	69	0	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI39_1322\iECIAI39_1322_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI39_1322\iECIAI39_1322_map00020_map.html	outputs\bigg_prokaryote_bioemma\maps\map00020\iECIAI39_1322\summary.json	outputs\bigg_prokaryote_bioemma\models\iECIAI39_1322.xml	1.545	
built	iECIAI39_1322	Escherichia coli IAI39	map00030	rn00030	Pentose phosphate pathway	2721	1953	1321	2721	1953	58	37	1	R06837	34	24	58.62	26	11	70.27	206	34	217	0	73	0	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI39_1322\iECIAI39_1322_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI39_1322\iECIAI39_1322_map00030_map.html	outputs\bigg_prokaryote_bioemma\maps\map00030\iECIAI39_1322\summary.json	outputs\bigg_prokaryote_bioemma\models\iECIAI39_1322.xml	1.863	
built	iECIAI39_1322	Escherichia coli IAI39	map00680	rn00680	Methane metabolism / C1 metabolism	2721	1953	1321	2721	1953	104	86	3	R08323, R08328, R10397	32	72	30.77	36	50	41.86	238	32	228	0	95	0	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI39_1322\iECIAI39_1322_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI39_1322\iECIAI39_1322_map00680_map.html	outputs\bigg_prokaryote_bioemma\maps\map00680\iECIAI39_1322\summary.json	outputs\bigg_prokaryote_bioemma\models\iECIAI39_1322.xml	3.045	
built	iECNA114_1301	Escherichia coli NA114	map00010	rn00010	Glycolysis / gluconeogenesis	2718	1927	1301	2718	1927	56	31	0		41	15	73.21	21	10	67.74	278	41	293	0	124	0	outputs\bigg_prokaryote_bioemma\maps\map00010\iECNA114_1301\iECNA114_1301_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iECNA114_1301\iECNA114_1301_map00010_map.html	outputs\bigg_prokaryote_bioemma\maps\map00010\iECNA114_1301\summary.json	outputs\bigg_prokaryote_bioemma\models\iECNA114_1301.xml	2.049	
