pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00010	rn00010	Glycolysis / gluconeogenesis	iNJ661	Mycobacterium tuberculosis H37Rv	built	1025	825	56		35	21	62.5	17	14	54.84	results\prokaryote_maps\maps\map00010\iNJ661\iNJ661_map00010_map.json	results\prokaryote_maps\maps\map00010\iNJ661\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iNJ661	Mycobacterium tuberculosis H37Rv	built	1025	825	29		20	9	68.97	12	8	60.0	results\prokaryote_maps\maps\map00020\iNJ661\iNJ661_map00020_map.json	results\prokaryote_maps\maps\map00020\iNJ661\summary.json
map00030	rn00030	Pentose phosphate pathway	iNJ661	Mycobacterium tuberculosis H37Rv	built	1025	825	58	R06837	24	34	41.38	21	16	56.76	results\prokaryote_maps\maps\map00030\iNJ661\iNJ661_map00030_map.json	results\prokaryote_maps\maps\map00030\iNJ661\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iNJ661	Mycobacterium tuberculosis H37Rv	built	1025	825	104	R08323, R08328, R10397	29	75	27.88	30	56	34.88	results\prokaryote_maps\maps\map00680\iNJ661\iNJ661_map00680_map.json	results\prokaryote_maps\maps\map00680\iNJ661\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	built	2735	1943	56		41	15	73.21	22	9	70.97	results\prokaryote_maps\maps\map00010\iNRG857_1313\iNRG857_1313_map00010_map.json	results\prokaryote_maps\maps\map00010\iNRG857_1313\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	built	2735	1943	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iNRG857_1313\iNRG857_1313_map00020_map.json	results\prokaryote_maps\maps\map00020\iNRG857_1313\summary.json
map00030	rn00030	Pentose phosphate pathway	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	built	2735	1943	58	R06837	34	24	58.62	26	11	70.27	results\prokaryote_maps\maps\map00030\iNRG857_1313\iNRG857_1313_map00030_map.json	results\prokaryote_maps\maps\map00030\iNRG857_1313\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	built	2735	1943	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	results\prokaryote_maps\maps\map00680\iNRG857_1313\iNRG857_1313_map00680_map.json	results\prokaryote_maps\maps\map00680\iNRG857_1313\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iPC815	Yersinia pestis CO92	built	1961	1552	56		34	22	60.71	18	13	58.06	results\prokaryote_maps\maps\map00010\iPC815\iPC815_map00010_map.json	results\prokaryote_maps\maps\map00010\iPC815\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iPC815	Yersinia pestis CO92	built	1961	1552	29		20	9	68.97	13	7	65.0	results\prokaryote_maps\maps\map00020\iPC815\iPC815_map00020_map.json	results\prokaryote_maps\maps\map00020\iPC815\summary.json
map00030	rn00030	Pentose phosphate pathway	iPC815	Yersinia pestis CO92	built	1961	1552	58	R06837	32	26	55.17	26	11	70.27	results\prokaryote_maps\maps\map00030\iPC815\iPC815_map00030_map.json	results\prokaryote_maps\maps\map00030\iPC815\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iPC815	Yersinia pestis CO92	built	1961	1552	104	R08323, R08328, R10397	29	75	27.88	35	51	40.7	results\prokaryote_maps\maps\map00680\iPC815\iPC815_map00680_map.json	results\prokaryote_maps\maps\map00680\iPC815\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iS_1188	Shigella flexneri 2a str. 2457T	built	2619	1914	56		39	17	69.64	21	10	67.74	results\prokaryote_maps\maps\map00010\iS_1188\iS_1188_map00010_map.json	results\prokaryote_maps\maps\map00010\iS_1188\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iS_1188	Shigella flexneri 2a str. 2457T	built	2619	1914	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iS_1188\iS_1188_map00020_map.json	results\prokaryote_maps\maps\map00020\iS_1188\summary.json
map00030	rn00030	Pentose phosphate pathway	iS_1188	Shigella flexneri 2a str. 2457T	built	2619	1914	58	R06837	33	25	56.9	26	11	70.27	results\prokaryote_maps\maps\map00030\iS_1188\iS_1188_map00030_map.json	results\prokaryote_maps\maps\map00030\iS_1188\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iS_1188	Shigella flexneri 2a str. 2457T	built	2619	1914	104	R08323, R08328, R10397	30	74	28.85	35	51	40.7	results\prokaryote_maps\maps\map00680\iS_1188\iS_1188_map00680_map.json	results\prokaryote_maps\maps\map00680\iS_1188\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iSB619	Staphylococcus aureus subsp. aureus N315	built	743	655	56		36	20	64.29	20	11	64.52	results\prokaryote_maps\maps\map00010\iSB619\iSB619_map00010_map.json	results\prokaryote_maps\maps\map00010\iSB619\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iSB619	Staphylococcus aureus subsp. aureus N315	built	743	655	29		23	6	79.31	12	8	60.0	results\prokaryote_maps\maps\map00020\iSB619\iSB619_map00020_map.json	results\prokaryote_maps\maps\map00020\iSB619\summary.json
map00030	rn00030	Pentose phosphate pathway	iSB619	Staphylococcus aureus subsp. aureus N315	built	743	655	58	R06837	25	33	43.1	23	14	62.16	results\prokaryote_maps\maps\map00030\iSB619\iSB619_map00030_map.json	results\prokaryote_maps\maps\map00030\iSB619\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iSB619	Staphylococcus aureus subsp. aureus N315	built	743	655	104	R08323, R08328, R10397	29	75	27.88	30	56	34.88	results\prokaryote_maps\maps\map00680\iSB619\iSB619_map00680_map.json	results\prokaryote_maps\maps\map00680\iSB619\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iSbBS512_1146	Shigella boydii CDC 3083-94	built	2591	1910	56		41	15	73.21	21	10	67.74	results\prokaryote_maps\maps\map00010\iSbBS512_1146\iSbBS512_1146_map00010_map.json	results\prokaryote_maps\maps\map00010\iSbBS512_1146\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iSbBS512_1146	Shigella boydii CDC 3083-94	built	2591	1910	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iSbBS512_1146\iSbBS512_1146_map00020_map.json	results\prokaryote_maps\maps\map00020\iSbBS512_1146\summary.json
map00030	rn00030	Pentose phosphate pathway	iSbBS512_1146	Shigella boydii CDC 3083-94	built	2591	1910	58	R06837	32	26	55.17	26	11	70.27	results\prokaryote_maps\maps\map00030\iSbBS512_1146\iSbBS512_1146_map00030_map.json	results\prokaryote_maps\maps\map00030\iSbBS512_1146\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iSbBS512_1146	Shigella boydii CDC 3083-94	built	2591	1910	104	R08323, R08328, R10397	31	73	29.81	36	50	41.86	results\prokaryote_maps\maps\map00680\iSbBS512_1146\iSbBS512_1146_map00680_map.json	results\prokaryote_maps\maps\map00680\iSbBS512_1146\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iSBO_1134	Shigella boydii Sb227	built	2591	1908	56		39	17	69.64	21	10	67.74	results\prokaryote_maps\maps\map00010\iSBO_1134\iSBO_1134_map00010_map.json	results\prokaryote_maps\maps\map00010\iSBO_1134\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iSBO_1134	Shigella boydii Sb227	built	2591	1908	29		23	6	79.31	13	7	65.0	results\prokaryote_maps\maps\map00020\iSBO_1134\iSBO_1134_map00020_map.json	results\prokaryote_maps\maps\map00020\iSBO_1134\summary.json
map00030	rn00030	Pentose phosphate pathway	iSBO_1134	Shigella boydii Sb227	built	2591	1908	58	R06837	33	25	56.9	26	11	70.27	results\prokaryote_maps\maps\map00030\iSBO_1134\iSBO_1134_map00030_map.json	results\prokaryote_maps\maps\map00030\iSBO_1134\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iSBO_1134	Shigella boydii Sb227	built	2591	1908	104	R08323, R08328, R10397	30	74	28.85	36	50	41.86	results\prokaryote_maps\maps\map00680\iSBO_1134\iSBO_1134_map00680_map.json	results\prokaryote_maps\maps\map00680\iSBO_1134\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iSDY_1059	Shigella dysenteriae Sd197	built	2539	1888	56		37	19	66.07	21	10	67.74	results\prokaryote_maps\maps\map00010\iSDY_1059\iSDY_1059_map00010_map.json	results\prokaryote_maps\maps\map00010\iSDY_1059\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iSDY_1059	Shigella dysenteriae Sd197	built	2539	1888	29		22	7	75.86	13	7	65.0	results\prokaryote_maps\maps\map00020\iSDY_1059\iSDY_1059_map00020_map.json	results\prokaryote_maps\maps\map00020\iSDY_1059\summary.json
