pathway_id	pathway_name	category	kegg_reactions	seed_mapped	bigg_mapped	both_bigg_and_seed	either_bigg_or_seed	unmapped_to_bigg_or_seed	seed_mapped_percent	bigg_mapped_percent	either_mapped_percent
map00950	Isoquinoline alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	100	72	8	8	72	28	72.0%	8.0%	72.0%
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	68	48	12	12	48	20	70.6%	17.6%	70.6%
map00965	Betalain biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	27	14	6	6	14	13	51.9%	22.2%	51.9%
map00966	Glucosinolate biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	59	35	2	2	35	24	59.3%	3.4%	59.3%
map00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing; Translation	32	1	0	0	1	31	3.1%	0.0%	3.1%
map00980	Metabolism of xenobiotics by cytochrome P450	Metabolism; Xenobiotics biodegradation and metabolism	121	116	5	5	116	5	95.9%	4.1%	95.9%
map00981	Insect hormone biosynthesis	Metabolism; Metabolism of terpenoids and polyketides	29	23	1	1	23	6	79.3%	3.4%	79.3%
map00982	Drug metabolism - cytochrome P450	Metabolism; Xenobiotics biodegradation and metabolism	84	80	7	7	80	4	95.2%	8.3%	95.2%
map00983	Drug metabolism - other enzymes	Metabolism; Xenobiotics biodegradation and metabolism	38	30	4	4	30	8	78.9%	10.5%	78.9%
map00984	Steroid degradation	Metabolism; Xenobiotics biodegradation and metabolism	16	9	3	3	9	7	56.2%	18.8%	56.2%
map01040	Biosynthesis of unsaturated fatty acids	Metabolism; Lipid metabolism	41	31	26	26	31	10	75.6%	63.4%	75.6%
map01051	Biosynthesis of ansamycins	Metabolism; Metabolism of terpenoids and polyketides	30	25	0	0	25	5	83.3%	0.0%	83.3%
map01053	Biosynthesis of siderophore group nonribosomal peptides	Metabolism; Metabolism of terpenoids and polyketides	4	4	2	2	4	0	100.0%	50.0%	100.0%
map01055	Biosynthesis of vancomycin group antibiotics	Metabolism; Metabolism of terpenoids and polyketides	13	13	1	1	13	0	100.0%	7.7%	100.0%
map01056	Biosynthesis of type II polyketide backbone	Metabolism; Metabolism of terpenoids and polyketides	20	13	0	0	13	7	65.0%	0.0%	65.0%
map01057	Biosynthesis of type II polyketide products	Metabolism; Metabolism of terpenoids and polyketides	123	86	1	1	86	37	69.9%	0.8%	69.9%
map01058	Acridone alkaloid biosynthesis	Metabolism; Biosynthesis of other secondary metabolites	3	3	0	0	3	0	100.0%	0.0%	100.0%
map01200	Carbon metabolism	Metabolism; Overview	174	158	106	105	159	15	90.8%	60.9%	91.4%
map01210	2-Oxocarboxylic acid metabolism	Metabolism; Overview	126	100	38	38	100	26	79.4%	30.2%	79.4%
map01212	Fatty acid metabolism	Metabolism; Overview	98	53	48	45	56	42	54.1%	49.0%	57.1%
map01220	Degradation of aromatic compounds	Metabolism; Overview	247	186	19	18	187	60	75.3%	7.7%	75.7%
map01230	Biosynthesis of amino acids	Metabolism; Overview	156	156	115	115	156	0	100.0%	73.7%	100.0%
