pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00680	rn00680	Methane metabolism / C1 metabolism	ic_1306	Escherichia coli CFT073	built	2726	1936	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\ic_1306\ic_1306_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\ic_1306\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	built	2703	1919	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iE2348C_1286\iE2348C_1286_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iE2348C_1286\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	built	2703	1919	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iE2348C_1286\iE2348C_1286_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iE2348C_1286\summary.json
map00030	rn00030	Pentose phosphate pathway	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	built	2703	1919	58	R06837	33	25	56.9	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iE2348C_1286\iE2348C_1286_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iE2348C_1286\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iE2348C_1286	Escherichia coli O127:H6 str. E2348/69	built	2703	1919	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iE2348C_1286\iE2348C_1286_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iE2348C_1286\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC042_1314	Escherichia coli 042	built	2714	1926	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC042_1314\iEC042_1314_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC042_1314\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC042_1314	Escherichia coli 042	built	2714	1926	29		23	6	79.31	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC042_1314\iEC042_1314_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC042_1314\summary.json
map00030	rn00030	Pentose phosphate pathway	iEC042_1314	Escherichia coli 042	built	2714	1926	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC042_1314\iEC042_1314_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC042_1314\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEC042_1314	Escherichia coli 042	built	2714	1926	104	R08323, R08328, R10397	32	72	30.77	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC042_1314\iEC042_1314_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC042_1314\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1344_C	Escherichia coli C	built	2726	1934	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1344_C\iEC1344_C_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1344_C\summary.json
