pathway	pathway_rn	pathway_label	model_id	organism	reaction_count	reaction_set	status	map_json
map00010	rn00010	Glycolysis / gluconeogenesis	iJR904	Escherichia coli str. K-12 substr. MG1655	13	R00199|R00200|R00235|R00341|R00658|R00710|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iJR904\iJR904_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iLF82_1304	Escherichia coli LF82	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iLF82_1304\iLF82_1304_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iML1515	Escherichia coli str. K-12 substr. MG1655	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iML1515\iML1515_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iNRG857_1313	Escherichia coli O83:H1 str. NRG 857C	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iNRG857_1313\iNRG857_1313_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iUMN146_1321	Escherichia coli UM146	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iUMN146_1321\iUMN146_1321_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iUMNK88_1353	Escherichia coli UMNK88	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iUMNK88_1353\iUMNK88_1353_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iUTI89_1310	Escherichia coli UTI89	14	R00199|R00200|R00235|R00341|R00658|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iUTI89_1310\iUTI89_1310_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iWFL_1372	Escherichia coli W	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iWFL_1372\iWFL_1372_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iY75_1357	Escherichia coli str. K-12 substr. W3110	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iY75_1357\iY75_1357_map00010_map.json
map00010	rn00010	Glycolysis / gluconeogenesis	iZ_1308	Escherichia coli O157:H7 str. EDL933	15	R00199|R00200|R00235|R00341|R00658|R00710|R00711|R00754|R00756|R00762|R01015|R01061|R01068|R01512|R01518	ok	results\prokaryote_maps\maps\map00010\iZ_1308\iZ_1308_map00010_map.json
