status	bigg_id	organism	pathway	pathway_rn	pathway_label	source_reaction_count	source_metabolite_count	source_gene_count	model_reactions	model_metabolites	kegg_reactions	kegg_metabolites	kgml_reaction_entries_omitted	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	escher_nodes	escher_reactions	escher_segments	invalid_segments_removed	secondary_nodes_seen	secondary_nodes_converted	map_json	map_html	summary_json	model_xml	elapsed_seconds	error
built	iECDH1ME8569_1439	Escherichia coli DH1	map00010	rn00010	Glycolysis / gluconeogenesis	2755	1950	1439	2755	1950	56	31	0		15	41	26.79	21	10	67.74	104	15	99	0	38	0	results\prokaryote_maps\maps\map00010\iECDH1ME8569_1439\iECDH1ME8569_1439_map00010_map.json	results\prokaryote_maps\maps\map00010\iECDH1ME8569_1439\iECDH1ME8569_1439_map00010_map.html	results\prokaryote_maps\maps\map00010\iECDH1ME8569_1439\summary.json	http://bigg.ucsd.edu/static/models/iECDH1ME8569_1439.xml	1.859	
built	iECDH1ME8569_1439	Escherichia coli DH1	map00020	rn00020	Citrate cycle (TCA cycle)	2755	1950	1439	2755	1950	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iECDH1ME8569_1439\iECDH1ME8569_1439_map00020_map.json	results\prokaryote_maps\maps\map00020\iECDH1ME8569_1439\iECDH1ME8569_1439_map00020_map.html	results\prokaryote_maps\maps\map00020\iECDH1ME8569_1439\summary.json	http://bigg.ucsd.edu/static/models/iECDH1ME8569_1439.xml	1.452	
built	iECDH1ME8569_1439	Escherichia coli DH1	map00030	rn00030	Pentose phosphate pathway	2755	1950	1439	2755	1950	58	37	1	R06837	21	37	36.21	26	11	70.27	122	21	122	0	33	0	results\prokaryote_maps\maps\map00030\iECDH1ME8569_1439\iECDH1ME8569_1439_map00030_map.json	results\prokaryote_maps\maps\map00030\iECDH1ME8569_1439\iECDH1ME8569_1439_map00030_map.html	results\prokaryote_maps\maps\map00030\iECDH1ME8569_1439\summary.json	http://bigg.ucsd.edu/static/models/iECDH1ME8569_1439.xml	1.924	
built	iECDH1ME8569_1439	Escherichia coli DH1	map00680	rn00680	Methane metabolism / C1 metabolism	2755	1950	1439	2755	1950	104	86	3	R08323, R08328, R10397	21	83	20.19	36	50	41.86	147	21	135	0	48	0	results\prokaryote_maps\maps\map00680\iECDH1ME8569_1439\iECDH1ME8569_1439_map00680_map.json	results\prokaryote_maps\maps\map00680\iECDH1ME8569_1439\iECDH1ME8569_1439_map00680_map.html	results\prokaryote_maps\maps\map00680\iECDH1ME8569_1439\summary.json	http://bigg.ucsd.edu/static/models/iECDH1ME8569_1439.xml	3.15	
built	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	map00010	rn00010	Glycolysis / gluconeogenesis	2763	1972	1341	2763	1972	56	31	0		15	41	26.79	22	9	70.97	105	15	99	0	38	0	results\prokaryote_maps\maps\map00010\iEcE24377_1341\iEcE24377_1341_map00010_map.json	results\prokaryote_maps\maps\map00010\iEcE24377_1341\iEcE24377_1341_map00010_map.html	results\prokaryote_maps\maps\map00010\iEcE24377_1341\summary.json	http://bigg.ucsd.edu/static/models/iEcE24377_1341.xml	2.09	
built	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	map00020	rn00020	Citrate cycle (TCA cycle)	2763	1972	1341	2763	1972	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iEcE24377_1341\iEcE24377_1341_map00020_map.json	results\prokaryote_maps\maps\map00020\iEcE24377_1341\iEcE24377_1341_map00020_map.html	results\prokaryote_maps\maps\map00020\iEcE24377_1341\summary.json	http://bigg.ucsd.edu/static/models/iEcE24377_1341.xml	1.514	
built	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	map00030	rn00030	Pentose phosphate pathway	2763	1972	1341	2763	1972	58	37	1	R06837	21	37	36.21	26	11	70.27	122	21	122	0	33	0	results\prokaryote_maps\maps\map00030\iEcE24377_1341\iEcE24377_1341_map00030_map.json	results\prokaryote_maps\maps\map00030\iEcE24377_1341\iEcE24377_1341_map00030_map.html	results\prokaryote_maps\maps\map00030\iEcE24377_1341\summary.json	http://bigg.ucsd.edu/static/models/iEcE24377_1341.xml	1.785	
built	iEcE24377_1341	Escherichia coli O139:H28 str. E24377A	map00680	rn00680	Methane metabolism / C1 metabolism	2763	1972	1341	2763	1972	104	86	3	R08323, R08328, R10397	21	83	20.19	36	50	41.86	147	21	135	0	48	0	results\prokaryote_maps\maps\map00680\iEcE24377_1341\iEcE24377_1341_map00680_map.json	results\prokaryote_maps\maps\map00680\iEcE24377_1341\iEcE24377_1341_map00680_map.html	results\prokaryote_maps\maps\map00680\iEcE24377_1341\summary.json	http://bigg.ucsd.edu/static/models/iEcE24377_1341.xml	3.8	
built	iECED1_1282	Escherichia coli ED1a	map00010	rn00010	Glycolysis / gluconeogenesis	2706	1929	1279	2706	1929	56	31	0		14	42	25.0	21	10	67.74	97	14	91	0	34	0	results\prokaryote_maps\maps\map00010\iECED1_1282\iECED1_1282_map00010_map.json	results\prokaryote_maps\maps\map00010\iECED1_1282\iECED1_1282_map00010_map.html	results\prokaryote_maps\maps\map00010\iECED1_1282\summary.json	http://bigg.ucsd.edu/static/models/iECED1_1282.xml	2.11	
built	iECED1_1282	Escherichia coli ED1a	map00020	rn00020	Citrate cycle (TCA cycle)	2706	1929	1279	2706	1929	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iECED1_1282\iECED1_1282_map00020_map.json	results\prokaryote_maps\maps\map00020\iECED1_1282\iECED1_1282_map00020_map.html	results\prokaryote_maps\maps\map00020\iECED1_1282\summary.json	http://bigg.ucsd.edu/static/models/iECED1_1282.xml	1.392	
built	iECED1_1282	Escherichia coli ED1a	map00030	rn00030	Pentose phosphate pathway	2706	1929	1279	2706	1929	58	37	1	R06837	22	36	37.93	26	11	70.27	128	22	129	0	36	0	results\prokaryote_maps\maps\map00030\iECED1_1282\iECED1_1282_map00030_map.json	results\prokaryote_maps\maps\map00030\iECED1_1282\iECED1_1282_map00030_map.html	results\prokaryote_maps\maps\map00030\iECED1_1282\summary.json	http://bigg.ucsd.edu/static/models/iECED1_1282.xml	1.769	
built	iECED1_1282	Escherichia coli ED1a	map00680	rn00680	Methane metabolism / C1 metabolism	2706	1929	1279	2706	1929	104	86	3	R08323, R08328, R10397	21	83	20.19	36	50	41.86	147	21	135	0	48	0	results\prokaryote_maps\maps\map00680\iECED1_1282\iECED1_1282_map00680_map.json	results\prokaryote_maps\maps\map00680\iECED1_1282\iECED1_1282_map00680_map.html	results\prokaryote_maps\maps\map00680\iECED1_1282\summary.json	http://bigg.ucsd.edu/static/models/iECED1_1282.xml	3.077	
built	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	map00010	rn00010	Glycolysis / gluconeogenesis	2694	1918	1262	2694	1918	56	31	0		15	41	26.79	21	10	67.74	104	15	99	0	38	0	results\prokaryote_maps\maps\map00010\iECH74115_1262\iECH74115_1262_map00010_map.json	results\prokaryote_maps\maps\map00010\iECH74115_1262\iECH74115_1262_map00010_map.html	results\prokaryote_maps\maps\map00010\iECH74115_1262\summary.json	http://bigg.ucsd.edu/static/models/iECH74115_1262.xml	1.998	
built	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	map00020	rn00020	Citrate cycle (TCA cycle)	2694	1918	1262	2694	1918	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iECH74115_1262\iECH74115_1262_map00020_map.json	results\prokaryote_maps\maps\map00020\iECH74115_1262\iECH74115_1262_map00020_map.html	results\prokaryote_maps\maps\map00020\iECH74115_1262\summary.json	http://bigg.ucsd.edu/static/models/iECH74115_1262.xml	1.315	
built	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	map00030	rn00030	Pentose phosphate pathway	2694	1918	1262	2694	1918	58	37	1	R06837	21	37	36.21	26	11	70.27	122	21	122	0	33	0	results\prokaryote_maps\maps\map00030\iECH74115_1262\iECH74115_1262_map00030_map.json	results\prokaryote_maps\maps\map00030\iECH74115_1262\iECH74115_1262_map00030_map.html	results\prokaryote_maps\maps\map00030\iECH74115_1262\summary.json	http://bigg.ucsd.edu/static/models/iECH74115_1262.xml	1.888	
built	iECH74115_1262	Escherichia coli O157:H7 str. EC4115	map00680	rn00680	Methane metabolism / C1 metabolism	2694	1918	1262	2694	1918	104	86	3	R08323, R08328, R10397	20	84	19.23	36	50	41.86	142	20	129	0	46	0	results\prokaryote_maps\maps\map00680\iECH74115_1262\iECH74115_1262_map00680_map.json	results\prokaryote_maps\maps\map00680\iECH74115_1262\iECH74115_1262_map00680_map.html	results\prokaryote_maps\maps\map00680\iECH74115_1262\summary.json	http://bigg.ucsd.edu/static/models/iECH74115_1262.xml	3.036	
built	iEcHS_1320	Escherichia coli HS	map00010	rn00010	Glycolysis / gluconeogenesis	2753	1963	1321	2753	1963	56	31	0		15	41	26.79	22	9	70.97	105	15	99	0	38	0	results\prokaryote_maps\maps\map00010\iEcHS_1320\iEcHS_1320_map00010_map.json	results\prokaryote_maps\maps\map00010\iEcHS_1320\iEcHS_1320_map00010_map.html	results\prokaryote_maps\maps\map00010\iEcHS_1320\summary.json	http://bigg.ucsd.edu/static/models/iEcHS_1320.xml	2.16	
built	iEcHS_1320	Escherichia coli HS	map00020	rn00020	Citrate cycle (TCA cycle)	2753	1963	1321	2753	1963	29	20	0		7	22	24.14	13	7	65.0	50	7	45	0	16	0	results\prokaryote_maps\maps\map00020\iEcHS_1320\iEcHS_1320_map00020_map.json	results\prokaryote_maps\maps\map00020\iEcHS_1320\iEcHS_1320_map00020_map.html	results\prokaryote_maps\maps\map00020\iEcHS_1320\summary.json	http://bigg.ucsd.edu/static/models/iEcHS_1320.xml	1.371	
built	iEcHS_1320	Escherichia coli HS	map00030	rn00030	Pentose phosphate pathway	2753	1963	1321	2753	1963	58	37	1	R06837	21	37	36.21	26	11	70.27	122	21	122	0	33	0	results\prokaryote_maps\maps\map00030\iEcHS_1320\iEcHS_1320_map00030_map.json	results\prokaryote_maps\maps\map00030\iEcHS_1320\iEcHS_1320_map00030_map.html	results\prokaryote_maps\maps\map00030\iEcHS_1320\summary.json	http://bigg.ucsd.edu/static/models/iEcHS_1320.xml	1.774	
built	iEcHS_1320	Escherichia coli HS	map00680	rn00680	Methane metabolism / C1 metabolism	2753	1963	1321	2753	1963	104	86	3	R08323, R08328, R10397	21	83	20.19	36	50	41.86	147	21	135	0	48	0	results\prokaryote_maps\maps\map00680\iEcHS_1320\iEcHS_1320_map00680_map.json	results\prokaryote_maps\maps\map00680\iEcHS_1320\iEcHS_1320_map00680_map.html	results\prokaryote_maps\maps\map00680\iEcHS_1320\summary.json	http://bigg.ucsd.edu/static/models/iEcHS_1320.xml	3.438	
