kegg	mnx_id	ec	bigg	seed	metacyc	rhea	description	ambiguous
R05806	MNXR149348	2.7.1.145	ADADir|DADNK|DADNK_1|DADNKn|DCK1m|DCK1n|DGNSK|DGNSK_1|DGNSKm|DURIK1|DURIK1_1|DURIK1m|R_ADADir|R_DADNK|R_DADNK_1|R_DADNKn|R_DCK1m|R_DCK1n|R_DGNSK|R_DGNSK_1|R_DGNSKm|R_DURIK1|R_DURIK1_1|R_DURIK1m|R_TMDK1|R_TMDK1_1|R_TMDK1m|TMDK1|TMDK1_1|TMDK1m		2.7.1.145-RXN	12140|12141|12142|12143	ATP:deoxynucleoside 5'-phosphotransferase||ATP + Deoxynucleoside <=> ADP + Deoxynucleoside 5'-phosphate||1 keggC:C00002@IN + 1 keggC:C02269@IN <=> 1 keggC:C00008@IN + 1 keggC:C00676@IN	rhea(4),ec_fallback(participants>=0.50,bigg:30)
R05807	MNXR109851	4.99.1.3	DSCLCOCH|R_DSCLCOCH|R_SHCHCC|SHCHCC	rxn04045|rxn37661	4.99.1.3-RXN	15893|15894|15895|15896	sirohydrochlorin cobalt-lyase||Sirohydrochlorin + Cobalt ion <=> Cobalt-sirohydrochlorin + 2 H+||1 keggC:C05778@IN + 1 keggC:C00175@IN <=> 1 keggC:C11538@IN + 2 keggC:C00080@IN	seed(2),rhea(4),ec_fallback(participants>=0.50,bigg:4)
R05808	MNXR109852	2.1.1.151		rxn14270	2.1.1.151-RXN		S-adenosyl-L-methionine:cobalt-factor-II C20-methyltransferase||Cobalt-sirohydrochlorin + S-Adenosyl-L-methionine <=> Cobalt-factor III + S-Adenosyl-L-homocysteine||1 keggC:C11538@IN + 1 keggC:C00019@IN <=> 1 keggC:C17401@IN + 1 keggC:C00021@IN	
R05809	MNXR153229	2.1.1.131					Cobalt-precorrin 3 + S-Adenosyl-L-methionine <=> Cobalt-precorrin 4 + S-Adenosyl-L-homocysteine||1 keggC:C11539@IN + 1 keggC:C00019@IN <=> 1 keggC:C11540@IN + 1 keggC:C00021@IN	
R05810	MNXR153234	2.1.1.271	CODSCL4MT|CODSCL4MT_1|R_CODSCL4MT|R_CODSCL4MT_1			26277|26278|26279|26280	cobalt-precorrin-4 methyltransferase||Cobalt-precorrin 4 + S-Adenosyl-L-methionine <=> Cobalt-precorrin 5A + S-Adenosyl-L-homocysteine||1 keggC:C11540@IN + 1 keggC:C00019@IN <=> 1 keggC:C16242@IN + 1 keggC:C00021@IN	rhea(4),ec_fallback(participants>=0.50,bigg:4)
R05811	MNXR153256	2.1.1.-	CPC5MT|R_CPC5MT	rxn04049			Cobalt-precorrin 5 + S-Adenosyl-L-methionine + H2O <=> Cobalt-precorrin 6 + S-Adenosyl-L-homocysteine + Acetaldehyde||1 keggC:C11541@IN + 1 keggC:C00019@IN + 1 keggC:C00001@IN <=> 1 keggC:C11542@IN + 1 keggC:C00021@IN + 1 keggC:C00084@IN	ec_fallback(participants>=0.50,bigg:2)
R05812	MNXR109853	1.3.1.106		rxn39513		15625|15626|15627|15628	cobalt-precorrin-6B:NAD+ oxidoreductase||Cobalt-precorrin 6 + NADH + H+ <=> Cobalt-dihydro-precorrin 6 + NAD+||1 keggC:C11542@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN <=> 1 keggC:C11543@IN + 1 keggC:C00003@IN	rhea(4)
R05813	MNXR153259	2.1.1.132	CPC6MT|R_CPC6MT	rxn04051			Cobalt-dihydro-precorrin 6 + 2 S-Adenosyl-L-methionine <=> Cobalt-precorrin 8 + 2 S-Adenosyl-L-homocysteine + CO2||1 keggC:C11543@IN + 2 keggC:C00019@IN <=> 1 keggC:C11545@IN + 2 keggC:C00021@IN + 1 keggC:C00011@IN	ec_fallback(participants>=0.50,bigg:2)
R05814	MNXR192341	5.4.1.2|5.4.99.60		rxn04052|rxn25132		16209|16210|16211|16212	precorrin-8 11,12-methylmutase||Cobalt-precorrin 8 <=> Cobyrinate||1 keggC:C11545@IN <=> 1 keggC:C05773@IN	seed(2),rhea(4),ec(2)
R05815	MNXR109854	6.3.5.11		rxn06979	RXN-8769	26289|26290|26291|26292	cobyrinate:L-glutamine amido-ligase (ADP-forming)||Cobyrinate + 2 L-Glutamine + 2 ATP + 2 H2O <=> Cob(II)yrinate a,c diamide + 2 L-Glutamate + 2 ADP + 2 Orthophosphate||1 keggC:C05773@IN + 2 keggC:C00064@IN + 2 keggC:C00002@IN + 2 keggC:C00001@IN <=> 1 keggC:C06504@IN + 2 keggC:C00025@IN + 2 keggC:C00008@IN + 2 keggC:C00009@IN	rhea(4)
R05817	MNXR109855	1.3.7.5			1.3.7.5-RXN		(3Z)-phycocyanobilin:ferredoxin oxidoreductase||Biliverdin + 4 Reduced ferredoxin <=> (3Z)-Phycocyanobilin + 4 Oxidized ferredoxin||1 keggC:C00500@IN + 4 keggC:C00138@IN <=> 1 keggC:C05786@IN + 4 keggC:C00139@IN	
R05818	MNXR109856	1.3.7.2		rxn06981			15,16-dihydrobiliverdin:ferredoxin oxidoreductase||Biliverdin + Reduced ferredoxin <=> 15,16-Dihydrobiliverdin + Oxidized ferredoxin||1 keggC:C00500@IN + 1 keggC:C00138@IN <=> 1 keggC:C11630@IN + 1 keggC:C00139@IN	
R05819	MNXR149351	1.3.7.3		rxn06982			(3Z)-phycoerythrobilin:ferredoxin oxidoreductase||15,16-Dihydrobiliverdin + Reduced ferredoxin <=> (3Z)-Phycoerythrobilin + Oxidized ferredoxin||1 keggC:C11630@IN + 1 keggC:C00138@IN <=> 1 keggC:C05912@IN + 1 keggC:C00139@IN	
R05820	MNXR191276	2.7.1.198					protein-N(pi)-phosphohistidine:D-sorbitol 6-phosphotransferase||Protein N(pi)-phospho-L-histidine + D-Sorbitol <=> Protein histidine + Sorbitol 6-phosphate||1 keggC:C04261@IN + 1 keggC:C00794@IN <=> 1 keggC:C00615@IN + 1 keggC:C01096@IN	
R05821	MNXR109859	1.1.3.28		rxn04054	NUCLEOSIDE-OXIDASE-RXN	28651|28652|28653|28654	inosine:oxygen 5'-oxidoreductase||Inosine + Oxygen <=> 9-Riburonosylhypoxanthine + H2O||1 keggC:C00294@IN + 1 keggC:C00007@IN <=> 1 keggC:C11631@IN + 1 keggC:C00001@IN	rhea(4)
R05822	MNXR149353	1.1.3.28		rxn11662	RXN-7803	19957|19958|19959|19960	5'-oxoinosine:oxygen 5'-oxidoreductase||2 5'-Oxoinosine + Oxygen <=> 2 9-Riburonosylhypoxanthine||2 keggC:C01993@IN + 1 keggC:C00007@IN <=> 2 keggC:C11631@IN	rhea(4)
R05823	MNXR109861	1.1.1.274	DKGLCNR3|R_DKGLCNR3	rxn04056|rxn14298	1.1.1.274-RXN	23828|23829|23830|23831	2-dehydro-D-gluconate:NADP+ 2-oxidoreductase||2-Keto-D-gluconic acid + NADP+ <=> 2,5-Didehydro-D-gluconate + NADPH + H+||1 keggC:C06473@IN + 1 keggC:C00006@IN <=> 1 keggC:C02780@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	bigg(2),seed(2),rhea(4)
R05824	MNXR195883						4,21-Dehydrocorynantheine aldehyde <=> 4,21-Dehydrogeissoschizine||1 keggC:C11679@IN <=> 1 keggC:C03677@IN	
R05825	MNXR149355	3.1.1.78					polyneuridine aldehyde hydrolase (decarboxylating)||Polyneuridine aldehyde + H2O <=> 16-Epivellosimine + CO2 + Methanol||1 keggC:C11632@IN + 1 keggC:C00001@IN <=> 1 keggC:C11633@IN + 1 keggC:C00011@IN + 1 keggC:C00132@IN	
R05826	MNXR149358						16-Epivellosimine <=> Vellosimine||1 keggC:C11633@IN <=> 1 keggC:C11634@IN	
R05827	MNXR149361	1.1.1.273		rxn04060		20029|20030|20031|20032	10-deoxysarpagine:NADP+ oxidoreductase||10-Deoxysarpagine + NADP+ <=> Vellosimine + NADPH + H+||1 keggC:C11635@IN + 1 keggC:C00006@IN <=> 1 keggC:C11634@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	rhea(4)
R05828	MNXR149364	1.14.14.136					10-deoxysarpagine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (10-hydroxylating)||10-Deoxysarpagine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Sarpagine + [Oxidized NADPH---hemoprotein reductase] + H2O||1 keggC:C11635@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C09239@IN + 1 keggC:C03161@IN + 1 keggC:C00001@IN	
R05829	MNXR149366	1.14.14.-					Geissoschizine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Polyneuridine aldehyde + [Oxidized NADPH---hemoprotein reductase] + 2 H2O||1 keggC:C02151@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C11632@IN + 1 keggC:C03161@IN + 2 keggC:C00001@IN	
R05830	MNXR109868	1.1.4.2|1.17.4.5		rxn04063	RXN-19923		2-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone:oxidized-dithiothreitol oxidoreductase||2-Hydroxy-vitamin K + Oxidized dithiothreitol <=> Vitamin K1 epoxide + Dithiothreitol||1 keggC:C02793@IN + 1 keggC:C01119@IN <=> 1 keggC:C05849@IN + 1 keggC:C00265@IN	ec(2)
R05831	MNXR198169	1.1.1.15	R_r0784|r0784	rxn04064			xylitol:NAD oxidoreductase||Xylitol + NAD+ <=> L-Xylulose + NADH + H+||1 keggC:C00379@IN + 1 keggC:C00003@IN <=> 1 keggC:C00312@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	ec_fallback(participants>=0.50,bigg:2)
R05832	MNXR149368	1.14.14.85					7-deoxyloganate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (7alpha-hydroxylating)||7-Deoxyloganate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Loganate + [Oxidized NADPH---hemoprotein reductase] + H2O||1 keggC:C11636@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C01512@IN + 1 keggC:C03161@IN + 1 keggC:C00001@IN	
R05833	MNXR149371	1.14.19.62					loganate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (ring-cleaving)||Loganate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Secologanate + [Oxidized NADPH---hemoprotein reductase] + 2 H2O||1 keggC:C01512@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C01957@IN + 1 keggC:C03161@IN + 2 keggC:C00001@IN	
R05834	MNXR109871	2.1.1.50		rxn04067	RXN-4523		S-adenosyl-L-methionine:secologanate 11-O-methyltransferase||S-Adenosyl-L-methionine + Secologanate <=> S-Adenosyl-L-homocysteine + Secologanin||1 keggC:C00019@IN + 1 keggC:C01957@IN <=> 1 keggC:C00021@IN + 1 keggC:C01852@IN	
R05835	MNXR149374	3.5.1.24		rxn04068	CHOLOYLGLYCINE-HYDROLASE-RXN	19353|19354|19355|19356	glycocholate amidohydrolase||Glycocholate + H2O <=> Cholic acid + Glycine||1 keggC:C01921@IN + 1 keggC:C00001@IN <=> 1 keggC:C00695@IN + 1 keggC:C00037@IN	rhea(4)
R05836	MNXR109873			rxn04069			3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate + 2 H+ <=> Deoxycholic acid||1 keggC:C11637@IN + 2 keggC:C00080@IN <=> 1 keggC:C04483@IN	
R05837	MNXR109874	1.1.1.262		rxn11663|rxn23444	RXN-13179	32275|32276|32277|32278	4-(phosphonooxy)threonine:NAD oxidoreductase||O-Phospho-4-hydroxy-L-threonine + NAD+ <=> 3-Amino-2-oxopropyl phosphate + NADH + H+ + CO2||1 keggC:C06055@IN + 1 keggC:C00003@IN <=> 1 keggC:C11638@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN + 1 keggC:C00011@IN	seed(2),rhea(4)
R05838	MNXR109875	2.6.99.2		rxn04070	PDXJ-RXN	15265|15266|15267|15268	pyridoxine 5'-phosphate synthase||3-Amino-2-oxopropyl phosphate + 1-Deoxy-D-xylulose 5-phosphate <=> Pyridoxine phosphate + Orthophosphate + 2 H2O||1 keggC:C11638@IN + 1 keggC:C11437@IN <=> 1 keggC:C00627@IN + 1 keggC:C00009@IN + 2 keggC:C00001@IN	rhea(4)
R05839	MNXR109876	2.6.1.31|2.6.1.54	P52O|PYOA|R_P52O|R_PYOA	rxn04071			pyridoxamine:2-oxoglutarate aminotransferase||Pyridoxamine + 2-Oxoglutarate <=> Pyridoxal + D-Glutamate||1 keggC:C00534@IN + 1 keggC:C00026@IN <=> 1 keggC:C00250@IN + 1 keggC:C00217@IN	ec(2),ec_fallback(participants>=0.50,bigg:4)
R05840	MNXR109877			rxn11664			Glycolaldehyde + 2-Oxobutanoate + Alanine <=> Pyridoxine||1 keggC:C00266@IN + 1 keggC:C00109@IN + 1 keggC:C01401@IN <=> 1 keggC:C00314@IN	
R05841	MNXR188659	2.3.1.13|2.3.1.192	GCN5|PHACCOAGLYACm|PHACGLYc|R_GCN5|R_PHACCOAGLYACm|R_PHACGLYc	rxn04073	RXN-10821	27850|27851|27852|27853	phenylacetyl-CoA:glycine N-phenylacetyltransferase||Phenylacetyl-CoA + Glycine <=> Phenylacetylglycine + CoA||1 keggC:C00582@IN + 1 keggC:C00037@IN <=> 1 keggC:C05598@IN + 1 keggC:C00010@IN	bigg(6),rhea(4),ec(2)
R05842	MNXR109878	3.3.2.10		rxn04074			ethylene oxide hydrolase||Ethylene oxide + H2O <=> Ethylene glycol||1 keggC:C06548@IN + 1 keggC:C00001@IN <=> 1 keggC:C01380@IN	
R05843	MNXR109879	1.13.11.-		rxn06984	RXN-12509		Phenanthrene + NADH + H+ + Oxygen <=> (+)-cis-3,4-Dihydrophenanthrene-3,4-diol + NAD+||1 keggC:C11422@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN + 1 keggC:C00007@IN <=> 1 keggC:C04468@IN + 1 keggC:C00003@IN	
R05844	MNXR195885						Strictosidine aglycone <=> Dialdehyde||1 keggC:C03309@IN <=> 1 keggC:C11678@IN	
R05845	MNXR195887						Dialdehyde + H+ <=> 4,21-Dehydrocorynantheine aldehyde + H2O||1 keggC:C11678@IN + 1 keggC:C00080@IN <=> 1 keggC:C11679@IN + 1 keggC:C00001@IN	
R05846	MNXR195889				RXN-19979	72711|72712|72713|72714	4,21-Dehydrogeissoschizine <=> Cathenamine||1 keggC:C03677@IN <=> 1 keggC:C11680@IN	rhea(4)
R05847	MNXR109883			rxn04079			Cathenamine + NADPH + H+ <=> Ajmalicine + NADP+||1 keggC:C11680@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN <=> 1 keggC:C09024@IN + 1 keggC:C00006@IN	
R05848	MNXR109884			rxn04080			Cathenamine + NADPH + H+ <=> Tetrahydroalstonine + NADP+||1 keggC:C11680@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN <=> 1 keggC:C11682@IN + 1 keggC:C00006@IN	
R05849	MNXR149376	1.14.14.-					Ajmalicine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Serpentine + [Oxidized NADPH---hemoprotein reductase] + 2 H2O + 2 H+||1 keggC:C09024@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C09241@IN + 1 keggC:C03161@IN + 2 keggC:C00001@IN + 2 keggC:C00080@IN	
R05850	MNXR103434	5.1.3.4	RBP4E|R_RBP4E	rxn04082	RIBULPEPIM-RXN	22368|22369|22370|22371	L-ribulose-5-phosphate 4-epimerase||L-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate||1 keggC:C01101@IN <=> 1 keggC:C00231@IN	bigg(2),rhea(4)
R05855	MNXR149382	1.14.14.103					tabersonine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (16-hydroxylating)||Tabersonine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 16-Hydroxytabersonine + [Oxidized NADPH---hemoprotein reductase] + H2O||1 keggC:C09244@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C11643@IN + 1 keggC:C03161@IN + 1 keggC:C00001@IN	
R05856	MNXR195891						16-Methoxytabersonine + H2O <=> 16-Methoxy-2,3-dihydro-3-hydroxytabersonine||1 keggC:C11675@IN + 1 keggC:C00001@IN <=> 1 keggC:C04578@IN	
R05857	MNXR109891	1.14.11.20		rxn04088	1.14.11.20-RXN	18973|18974|18975|18976	desacetoxyvindoline,2-oxoglutarate:oxygen oxidoreductase (4b-hydroxylating)||Desacetoxyvindoline + 2-Oxoglutarate + Oxygen <=> Deacetylvindoline + Succinate + CO2||1 keggC:C02673@IN + 1 keggC:C00026@IN + 1 keggC:C00007@IN <=> 1 keggC:C01091@IN + 1 keggC:C00042@IN + 1 keggC:C00011@IN	rhea(4)
R05858	MNXR149386			rxn04089|rxn24682|rxn24683			Vindoline + Catharanthine <=> 3',4'-Anhydrovinblastine||1 keggC:C01626@IN + 1 keggC:C09107@IN <=> 1 keggC:C11641@IN	seed(3)
R05859	MNXR149388						3',4'-Anhydrovinblastine <=> Vinblastine||1 keggC:C11641@IN <=> 1 keggC:C07201@IN	
R05860	MNXR109894			rxn04091			Vinblastine <=> Vincristine||1 keggC:C07201@IN <=> 1 keggC:C07204@IN	
R05861	MNXR97134	1.4.3.19|1.4.3.3	DALAOX|DALAOXx|R_DALAOX|R_DALAOXx	rxn04092|rxn30307	RXN-8672	22688|22689|22690|22691	D-alanine:oxygen oxidoreductase (deaminating)||D-Alanine + H2O + Oxygen <=> Pyruvate + Ammonia + Hydrogen peroxide||1 keggC:C00133@IN + 1 keggC:C00001@IN + 1 keggC:C00007@IN <=> 1 keggC:C00022@IN + 1 keggC:C00014@IN + 1 keggC:C00027@IN	bigg(4),seed(2),rhea(4),ec(2)
R05862	MNXR109895	1.4.3.19	GLYO1|GLYOp|GOX|R_GLYO1|R_GLYOp|R_GOX	rxn04093	RXN-8673	15165|15166|15167|15168	sarcosine:oxygen oxidoreductase (deaminating)||Sarcosine + H2O + Oxygen <=> Glyoxylate + Methylamine + Hydrogen peroxide||1 keggC:C00213@IN + 1 keggC:C00001@IN + 1 keggC:C00007@IN <=> 1 keggC:C00048@IN + 1 keggC:C00218@IN + 1 keggC:C00027@IN	rhea(4),ec_fallback(participants>=0.50,bigg:6)
R05863	MNXR109896	1.4.3.19	GLYO1|GLYOp|GOX|R_GLYO1|R_GLYOp|R_GOX	rxn04094	RXN-8674	12472|12473|12474|12475	N-ethylglycine:oxygen oxidoreductase (deaminating)||N-Ethylglycine + H2O + Oxygen <=> Glyoxylate + Ethylamine + Hydrogen peroxide||1 keggC:C11735@IN + 1 keggC:C00001@IN + 1 keggC:C00007@IN <=> 1 keggC:C00048@IN + 1 keggC:C00797@IN + 1 keggC:C00027@IN	rhea(4),ec_fallback(participants>=0.50,bigg:6)
R05864	MNXR195532	4.2.1.132					4-hydroxy-2-oxohexanoate hydro-lyase||2-Hydroxy-cis-hex-2,4-dienoate + H2O <=> 4-Hydroxy-2-oxohexanoic acid||1 keggC:C11354@IN + 1 keggC:C00001@IN <=> 1 keggC:C06762@IN	
R05865	MNXR198157	3.7.1.9	HMSH2|R_HMSH2				2-hydroxy-5-methyl-cis,cis-muconic-semialdehyde formylhydrolase||2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde + H2O <=> Formate + 2-Hydroxy-cis-hex-2,4-dienoate||1 keggC:C06760@IN + 1 keggC:C00001@IN <=> 1 keggC:C00058@IN + 1 keggC:C11354@IN	ec_fallback(participants>=0.50,bigg:2)
R05866	MNXR195893						Tabersonine + NADPH + H+ + Oxygen <=> Lochnericine + NADP+ + H2O||1 keggC:C09244@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN + 1 keggC:C00007@IN <=> 1 keggC:C11676@IN + 1 keggC:C00006@IN + 1 keggC:C00001@IN	
R05867	MNXR195895						Lochnericine <=> Horhammericine||1 keggC:C11676@IN <=> 1 keggC:C11677@IN	
R05868	MNXR195897						Tabersonine <=> Horhammericine||1 keggC:C09244@IN <=> 1 keggC:C11677@IN	
R05869	MNXR149390						Tabersonine <=> Minovincinine||1 keggC:C09244@IN <=> 1 keggC:C11783@IN	
R05870	MNXR195899					61076|61077|61078|61079	Minovincinine + Acetyl-CoA <=> Echitovenine + CoA||1 keggC:C11783@IN + 1 keggC:C00024@IN <=> 1 keggC:C11784@IN + 1 keggC:C00010@IN	rhea(4)
R05871	MNXR195901						19-Hydroxytabersonine <=> Horhammericine||1 keggC:C11642@IN <=> 1 keggC:C11677@IN	
R05872	MNXR195903						Tabersonine <=> 19-Hydroxytabersonine||1 keggC:C09244@IN <=> 1 keggC:C11642@IN	
R05873	MNXR195905						4,21-Dehydrogeissoschizine <=> 19-epi-Cathenamine||1 keggC:C03677@IN <=> 1 keggC:C11681@IN	
R05874	MNXR109905			rxn04105			19-epi-Cathenamine + NADPH + H+ <=> 19-epi-Ajmalicine + NADP+||1 keggC:C11681@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN <=> 1 keggC:C11683@IN + 1 keggC:C00006@IN	
R05875	MNXR149392	1.18.1.3|1.18.1.7	FNRR|R_FNRR				[2Fe-2S]-ferredoxin:NAD+ oxidoreductase||2 Reduced [2Fe-2S] ferredoxin + NAD+ + H+ <=> 2 Oxidized [2Fe-2S] ferredoxin + NADH||2 keggC:C22150@IN + 1 keggC:C00003@IN + 1 keggC:C00080@IN <=> 2 keggC:C22151@IN + 1 keggC:C00004@IN	ec(2),ec_fallback(participants>=0.50,bigg:2)
R05876	MNXR149395	2.3.1.160				24016|24017|24018|24019	acyl-CoA:16-epivellosimine O-acetyltransferase (cyclizing)||Acetyl-CoA + 16-Epivellosimine <=> CoA + Vinorine||1 keggC:C00024@IN + 1 keggC:C11633@IN <=> 1 keggC:C00010@IN + 1 keggC:C11807@IN	rhea(4)
R05877	MNXR149397	1.14.14.104					vinorine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (21alpha-hydroxylating)||Vinorine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Vomilenine + [Oxidized NADPH---hemoprotein reductase] + H2O||1 keggC:C11807@IN + 1 keggC:C03024@IN + 1 keggC:C00007@IN <=> 1 keggC:C01761@IN + 1 keggC:C03161@IN + 1 keggC:C00001@IN	
R05878	MNXR197959	1.5.1.32		rxn04108		16409|16410|16411|16412	1,2-dihydrovomilenine:NADP+ oxidoreductase||1,2-Dihydrovomilenine + NADP+ <=> Vomilenine + NADPH + H+||1 keggC:C11808@IN + 1 keggC:C00006@IN <=> 1 keggC:C01761@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	rhea(4)
R05879	MNXR197961	1.3.1.73		rxn04109		12320|12321|12322|12323	17-O-acetylnorajmaline:NADP+ oxidoreductase||17-O-Acetylnorajmaline + NADP+ <=> 1,2-Dihydrovomilenine + NADPH + H+||1 keggC:C11809@IN + 1 keggC:C00006@IN <=> 1 keggC:C11808@IN + 1 keggC:C00005@IN + 1 keggC:C00080@IN	rhea(4)
R05880	MNXR149404	3.1.1.80					17-O-acetylnorajmaline O-acetylhydrolase||17-O-Acetylnorajmaline + H2O <=> Norajmaline + Acetate||1 keggC:C11809@IN + 1 keggC:C00001@IN <=> 1 keggC:C11810@IN + 1 keggC:C00033@IN	
R05881	MNXR149406	2.1.1.-	3MHISc|ARMT|CPC5MT|HMR_4701|MHPGLUT2|OMP|RE2133C|R_3MHISc|R_ARMT|R_CPC5MT|R_HMR_4701|R_MHPGLUT2|R_OMP|R_RE2133C				Norajmaline + S-Adenosyl-L-methionine <=> Ajmaline + S-Adenosyl-L-homocysteine||1 keggC:C11810@IN + 1 keggC:C00019@IN <=> 1 keggC:C06542@IN + 1 keggC:C00021@IN	ec_fallback(participants>=0.50,bigg:14)
R05882	MNXR198205	2.4.1.219		rxn04112|rxn17568		19385|19386|19387|19388	UDP-glucose:vomilenine 21-O-beta-D-glucosyltransferase||UDP-glucose + Vomilenine <=> UDP + Raucaffricine||1 keggC:C00029@IN + 1 keggC:C01761@IN <=> 1 keggC:C00015@IN + 1 keggC:C02074@IN	seed(2),rhea(4)
R05884	MNXR109914	1.17.7.4			ISPH2-RXN		isopentenyl-diphosphate:ferredoxin oxidoreductase||1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + 2 Reduced ferredoxin + 2 H+ <=> Isopentenyl diphosphate + 2 Oxidized ferredoxin + H2O||1 keggC:C11811@IN + 2 keggC:C00138@IN + 2 keggC:C00080@IN <=> 1 keggC:C00129@IN + 2 keggC:C00139@IN + 1 keggC:C00001@IN	
R05885	MNXR195907	2.1.1.94			2.1.1.94-RXN	20992|20993|20994|20995	S-adenosyl-L-methionine:16-hydroxytabersonine 16-O-methyltransferase||16-Hydroxytabersonine + S-Adenosyl-L-methionine <=> 16-Methoxytabersonine + S-Adenosyl-L-homocysteine + H+||1 keggC:C11643@IN + 1 keggC:C00019@IN <=> 1 keggC:C11675@IN + 1 keggC:C00021@IN + 1 keggC:C00080@IN	rhea(4)
R05886	MNXR195909						Tabersonine <=> Lochnerinine||1 keggC:C09244@IN <=> 1 keggC:C11812@IN	
R05887	MNXR109917			rxn04116			Deacetylipecoside <=> Demethylalangiside||1 keggC:C07307@IN <=> 1 keggC:C11813@IN	
R05888	MNXR109918			rxn04117			Demethylalangiside <=> Alangiside||1 keggC:C11813@IN <=> 1 keggC:C09330@IN	
R05889	MNXR109919			rxn04118			Deacetylisoipecoside <=> Demethylisoalangiside||1 keggC:C07304@IN <=> 1 keggC:C11814@IN	
R05890	MNXR109920			rxn04119			Demethylisoalangiside <=> Isoalangiside||1 keggC:C11814@IN <=> 1 keggC:C11815@IN	
R05894	MNXR109924			rxn04123			Protoemetine <=> Tubulosine||1 keggC:C11816@IN <=> 1 keggC:C09248@IN	
R05895	MNXR149409						Protoemetine + Tryptamine <=> Deoxytubulosine||1 keggC:C11816@IN + 1 keggC:C00398@IN <=> 1 keggC:C11817@IN	
R05896	MNXR109926			rxn04125			Deoxytubulosine <=> Alangimarckine||1 keggC:C11817@IN <=> 1 keggC:C09328@IN	
R05897	MNXR149411						Protoemetine <=> Ankorine||1 keggC:C11816@IN <=> 1 keggC:C09337@IN	
R05898	MNXR149413						Loganate <=> 10-Deoxygeniposidic acid||1 keggC:C01512@IN <=> 1 keggC:C11672@IN	
R05899	MNXR109929			rxn04128			10-Deoxygeniposidic acid <=> Geniposidic acid||1 keggC:C11672@IN <=> 1 keggC:C11673@IN	
R05900	MNXR109930			rxn04129			Geniposidic acid <=> Asperuloside||1 keggC:C11673@IN <=> 1 keggC:C09769@IN	
R05901	MNXR109931	2.4.1.146					UDP-N-acetyl-D-glucosamine + G00025 <=> UDP + G00209||1 keggG:G10610@IN + 1 keggG:G00025@IN <=> 1 keggG:G10619@IN + 1 keggG:G00209@IN	
R05902	MNXR109932	2.4.1.-					UDP-N-acetyl-D-glucosamine + Galactosylgloboside <=> UDP + G00102||1 keggG:G10610@IN + 1 keggG:G00097@IN <=> 1 keggG:G10619@IN + 1 keggG:G00102@IN	
R05903	MNXR109933	2.4.1.-					UDP-D-galactose + G00102 <=> UDP + G00103||1 keggG:G10609@IN + 1 keggG:G00102@IN <=> 1 keggG:G10619@IN + 1 keggG:G00103@IN	
R05904	MNXR109934	2.4.1.152					GDP-L-fucose + G00103 <=> GDP + G00104||1 keggG:G10615@IN + 1 keggG:G00103@IN <=> 1 keggG:G10620@IN + 1 keggG:G00104@IN	
R05905	MNXR109935	2.4.3.1					CMP-N-acetylneuraminate + G00393 <=> CMP + G00251||1 keggG:G10616@IN + 1 keggG:G00393@IN <=> 1 keggG:G10621@IN + 1 keggG:G00251@IN	
