kegg	mnx_id	ec	bigg	seed	metacyc	rhea	description	ambiguous
R04174	MNXR108709	3.5.1.17	ACODA|ACODA_1|R_ACODA|R_ACODA_1	rxn02915			6-acetamido-2-oxohexanoate amidohydrolase||6-Acetamido-2-oxohexanoate + H2O <=> Acetate + 6-Amino-2-oxohexanoate||1 keggC:C05548@IN + 1 keggC:C00001@IN <=> 1 keggC:C00033@IN + 1 keggC:C03239@IN	ec_fallback(participants>=0.50,bigg:4)
R04175	MNXR95853		AOXHEXCYCL|PPD2CSPp|R_AOXHEXCYCL|R_PPD2CSPp	rxn02916	RXN-8172	31067|31068|31069|31070	6-Amino-2-oxohexanoate <=> Delta1-Piperideine-2-carboxylate + H2O||1 keggC:C03239@IN <=> 1 keggC:C04092@IN + 1 keggC:C00001@IN	bigg(4),rhea(4)
R04177	MNXR139258	4.1.1.78		rxn02917	RXN-21382		2-hydroxyethylenedicarboxylate hydro-lyase||2-Hydroxyethylenedicarboxylate <=> Acetylenedicarboxylate + H2O||1 keggC:C03981@IN <=> 1 keggC:C03248@IN + 1 keggC:C00001@IN	
R04178	MNXR108712	1.3.3.15|1.3.3.4	PPPGO2_1|PPPGO_1|R_PPPGO2_1|R_PPPGO_1	rxn47796	RXN-17517	43436|43437|43438|43439	coproporphyrinogen-III:oxygen oxidoreductase (coproporphyrin-forming)||Coproporphyrinogen III + 3 Oxygen <=> Coproporphyrin III + 3 Hydrogen peroxide||1 keggC:C03263@IN + 3 keggC:C00007@IN <=> 1 keggC:C05770@IN + 3 keggC:C00027@IN	rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:4)
R04179	MNXR152381	2.7.8.19					UDPglucose:glycoprotein-D-mannose glucosephosphotransferase||UDP-glucose + D-Mannosylglycoprotein <=> UMP + 6-(D-Glucose-1-phospho)-D-mannosylglycoprotein||1 keggC:C00029@IN + 1 keggC:C03268@IN <=> 1 keggC:C00105@IN + 1 keggC:C04645@IN	
R04180	MNXR148577	3.1.4.51					6-(D-glucose-1-phospho)-D-mannosylglycoprotein glucose-1-phosphohydrolase||6-(D-Glucose-1-phospho)-D-mannosylglycoprotein + H2O <=> D-Glucose 1-phosphate + D-Mannosylglycoprotein||1 keggC:C04645@IN + 1 keggC:C00001@IN <=> 1 keggC:C00103@IN + 1 keggC:C03268@IN	
R04182	MNXR148579	2.4.1.88					UDP-N-acetyl-D-galactosamine:N-acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide alpha-N-acetylgalactosaminyltransferase||UDP-N-acetyl-D-galactosamine + Globoside <=> UDP + N-Acetyl-D-galactosaminyl-N-acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide||1 keggC:C00203@IN + 1 keggC:C03272@IN <=> 1 keggC:C00015@IN + 1 keggC:C04925@IN	
R04183	MNXR189968	3.2.1.49					alpha-N-acetyl-D-galactosaminide N-acetylgalactosaminohydrolase||Globoside + N-Acetyl-D-galactosamine <=> N-Acetyl-D-galactosaminyl-N-acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide + H2O||1 keggC:C03272@IN + 1 keggC:C01132@IN <=> 1 keggC:C04925@IN + 1 keggC:C00001@IN	
R04184	MNXR148586	3.2.1.52					globoside N-acetylhexosaminohydrolase||alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O||1 keggC:C04737@IN + 1 keggC:C01132@IN <=> 1 keggC:C03272@IN + 1 keggC:C00001@IN	
R04185	MNXR148589	1.1.1.111|1.1.1.27	2HBO|2HIVc|ADPOHc|AKGR_m|GLYCDH_1|HPYRRx|HPYRRx_1|LDH_D|LDH_L|LDH_Lm|LDHm|LLDHh|MCLORi|MDH|MDHf|MDHh|MDHi2|MDHm|MDHp|PHLAC|RE2292C|R_2HBO|R_2HIVc|R_ADPOHc|R_AKGR_m|R_GLYCDH_1|R_HPYRRx|R_HPYRRx_1|R_LDH_D|R_LDH_L|R_LDH_Lm|R_LDHm|R_LLDHh|R_MCLORi|R_MDH|R_MDHf|R_MDHh|R_MDHi2|R_MDHm|R_MDHp|R_PHLAC|R_RE2292C|R_r0173|r0173	rxn02923|rxn03330|rxn36750	RXN-7572	12036|12037|12038|12039	(S)-3-(imidazol-5-yl)lactate:NAD+ oxidoreductase||(S)-3-(Imidazol-5-yl)lactate + NAD+ <=> Imidazol-5-yl-pyruvate + NADH + H+||1 keggC:C03817@IN + 1 keggC:C00003@IN <=> 1 keggC:C03277@IN + 1 keggC:C00004@IN + 1 keggC:C00080@IN	kegg(2),seed(3),rhea(4),ec(2),ec_fallback(participants>=0.50,bigg:44)
